role,eodhd_symbol,ticker,status,row_count,start_date,end_date,error,finished_utc
stock,AAPG.US,AAPG,ok,314,1995-01-01,2026-04-24,,2026-04-28T19:55:58Z
stock,AARD.US,AARD,ok,300,1995-01-01,2026-04-24,,2026-04-28T19:55:58Z
stock,AAT.US,AAT,ok,3842,1995-01-01,2026-04-24,,2026-04-28T19:55:59Z
stock,AAUC.US,AAUC,ok,424,1995-01-01,2026-04-24,,2026-04-28T19:55:59Z
stock,AB.US,AB,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:56:01Z
stock,ABAT.US,ABAT,ok,2557,1995-01-01,2026-04-24,,2026-04-28T19:56:02Z
stock,ABBV.US,ABBV,ok,3363,1995-01-01,2026-04-24,,2026-04-28T19:56:03Z
stock,ABCB.US,ABCB,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:56:04Z
stock,ABCL.US,ABCL,ok,1347,1995-01-01,2026-04-24,,2026-04-28T19:56:05Z
stock,ABEO.US,ABEO,ok,7647,1995-01-01,2026-04-24,,2026-04-28T19:56:06Z
stock,ABEV.US,ABEV,ok,7331,1995-01-01,2026-04-24,,2026-04-28T19:56:08Z
stock,ABG.US,ABG,ok,6068,1995-01-01,2026-04-24,,2026-04-28T19:56:09Z
stock,ABLV.US,ABLV,ok,908,1995-01-01,2026-04-24,,2026-04-28T19:56:09Z
stock,ABM.US,ABM,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:56:11Z
stock,ABNB.US,ABNB,ok,1348,1995-01-01,2026-04-24,,2026-04-28T19:56:11Z
stock,ABOS.US,ABOS,ok,1209,1995-01-01,2026-04-24,,2026-04-28T19:56:12Z
stock,ABOT.US,ABOT,ok,1350,1995-01-01,2026-04-24,,2026-04-28T19:56:13Z
stock,ABP.US,ABP,ok,748,1995-01-01,2026-04-24,,2026-04-28T19:56:13Z
stock,ABR.US,ABR,ok,5547,1995-01-01,2026-04-24,,2026-04-28T19:56:14Z
stock,ABSI.US,ABSI,ok,1195,1995-01-01,2026-04-24,,2026-04-28T19:56:15Z
stock,ABT.US,ABT,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:56:16Z
stock,ABTC.US,ABTC,ok,2052,1995-01-01,2026-04-24,,2026-04-28T19:56:17Z
stock,ABTS.US,ABTS,ok,2670,1995-01-01,2026-04-24,,2026-04-28T19:56:18Z
stock,ABUS.US,ABUS,ok,3877,1995-01-01,2026-04-24,,2026-04-28T19:56:19Z
stock,ABVC.US,ABVC,ok,5397,1995-01-01,2026-04-24,,2026-04-28T19:56:20Z
stock,ABVE.US,ABVE,ok,1108,1995-01-01,2026-04-24,,2026-04-28T19:56:20Z
stock,ABVX.US,ABVX,ok,630,1995-01-01,2026-04-24,,2026-04-28T19:56:21Z
stock,ABX.US,ABX,ok,1410,1995-01-01,2026-04-24,,2026-04-28T19:56:22Z
stock,ABXL.US,ABXL,ok,605,1995-01-01,2026-04-24,,2026-04-28T19:56:22Z
stock,ACA.US,ACA,ok,1880,1995-01-01,2026-04-24,,2026-04-28T19:56:23Z
stock,ACAA.US,ACAA,ok,11,1995-01-01,2026-04-24,,2026-04-28T19:56:23Z
stock,ACAD.US,ACAD,ok,5512,1995-01-01,2026-04-24,,2026-04-28T19:56:24Z
stock,ACB.US,ACB,ok,2965,1995-01-01,2026-04-24,,2026-04-28T19:56:25Z
stock,ACCL.US,ACCL,ok,130,1995-01-01,2026-04-24,,2026-04-28T19:56:25Z
stock,ACCO.US,ACCO,ok,7795,1995-01-01,2026-04-24,,2026-04-28T19:56:27Z
stock,ACCS.US,ACCS,ok,5740,1995-01-01,2026-04-24,,2026-04-28T19:56:28Z
stock,ACDC.US,ACDC,ok,990,1995-01-01,2026-04-24,,2026-04-28T19:56:28Z
stock,ACEL.US,ACEL,ok,2178,1995-01-01,2026-04-24,,2026-04-28T19:56:29Z
stock,ACET.US,ACET,ok,2072,1995-01-01,2026-04-24,,2026-04-28T19:56:30Z
stock,ACGL.US,ACGL,ok,7703,1995-01-01,2026-04-24,,2026-04-28T19:56:31Z
stock,ACH.US,ACH,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:56:33Z
stock,ACHC.US,ACHC,ok,7775,1995-01-01,2026-04-24,,2026-04-28T19:56:34Z
