symbol,ticker,eodhd_symbol,name,country,exchange,currency,type,isin,sector,industry,gics_sector,gics_sub_industry,is_delisted,delisted_date,metadata_source
ADAMN,ADAMN,ADAMN.US,"Adamas Trust, Inc",USA,NASDAQ,USD,Common Stock,NA,Real Estate,REIT - Mortgage,NA,REIT - Mortgage,False,NA,eodhd_fundamentals_general
ADAMO,ADAMO,ADAMO.US,"Adamas Trust, Inc. 9.250% Senior Notes Due 2031",USA,NASDAQ,USD,Common Stock,NA,NA,NA,NA,NA,False,NA,eodhd_fundamentals_general
ADAMZ,ADAMZ,ADAMZ.US,"Adamas Trust, Inc",USA,NASDAQ,USD,Common Stock,NA,Real Estate,REIT - Mortgage,NA,REIT - Mortgage,False,NA,eodhd_fundamentals_general
ADBE,ADBE,ADBE.US,Adobe Systems Incorporated,USA,NASDAQ,USD,Common Stock,US00724F1012,Technology,Software - Application,Information Technology,Software - Application,False,NA,eodhd_fundamentals_general
ADC,ADC,ADC.US,Agree Realty Corporation,USA,NYSE,USD,Common Stock,US0084921008,Real Estate,REIT - Retail,Real Estate,REIT - Retail,False,NA,eodhd_fundamentals_general
ADCT,ADCT,ADCT.US,ADC Therapeutics SA,USA,NYSE,USD,Common Stock,CH0499880968,Healthcare,Biotechnology,Information Technology,Biotechnology,False,NA,eodhd_fundamentals_general
ADEA,ADEA,ADEA.US,ADEIA CORP,USA,NASDAQ,USD,Common Stock,US98390M1036,Technology,Software - Application,Information Technology,Software - Application,False,NA,eodhd_fundamentals_general
ADGM,ADGM,ADGM.US,"Adagio Medical Holdings, Inc Common Stock",USA,NASDAQ,USD,Common Stock,US00534B1008,Healthcare,Medical Devices,Health Care,Medical Devices,False,NA,eodhd_fundamentals_general
ADI,ADI,ADI.US,Analog Devices Inc,USA,NASDAQ,USD,Common Stock,US0326541051,Technology,Semiconductors,Information Technology,Semiconductors,False,NA,eodhd_fundamentals_general
ADIL,ADIL,ADIL.US,Adial Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US00688A1060,Healthcare,Biotechnology,Health Care,Biotechnology,False,NA,eodhd_fundamentals_general
ADM,ADM,ADM.US,Archer-Daniels-Midland Company,USA,NYSE,USD,Common Stock,US0394831020,Consumer Defensive,Farm Products,Consumer Staples,Farm Products,False,NA,eodhd_fundamentals_general
ADMA,ADMA,ADMA.US,ADMA Biologics Inc,USA,NASDAQ,USD,Common Stock,US0008991046,Healthcare,Biotechnology,Health Care,Biotechnology,False,NA,eodhd_fundamentals_general
ADNT,ADNT,ADNT.US,Adient PLC,USA,NYSE,USD,Common Stock,IE00BD845X29,Consumer Cyclical,Auto Parts,Consumer Discretionary,Auto Parts,False,NA,eodhd_fundamentals_general
ADP,ADP,ADP.US,Automatic Data Processing Inc,USA,NASDAQ,USD,Common Stock,US0530151036,Technology,Software - Application,Industrials,Software - Application,False,NA,eodhd_fundamentals_general
ADPT,ADPT,ADPT.US,Adaptive Biotechnologies Corp,USA,NASDAQ,USD,Common Stock,US00650F1093,Healthcare,Biotechnology,Health Care,Biotechnology,False,NA,eodhd_fundamentals_general
ADSE,ADSE,ADSE.US,Ads Tec Energy PLC,USA,NASDAQ,USD,Common Stock,IE000DU292E6,Industrials,Electrical Equipment & Parts,Industrials,Electrical Equipment & Parts,False,NA,eodhd_fundamentals_general
ADSK,ADSK,ADSK.US,Autodesk Inc,USA,NASDAQ,USD,Common Stock,US0527691069,Technology,Software - Application,Information Technology,Software - Application,False,NA,eodhd_fundamentals_general
ADT,ADT,ADT.US,ADT Inc,USA,NYSE,USD,Common Stock,US00090Q1031,Industrials,Security & Protection Services,Consumer Discretionary,Security & Protection Services,False,NA,eodhd_fundamentals_general
ADTN,ADTN,ADTN.US,ADTRAN Inc,USA,NASDAQ,USD,Common Stock,US00486H1059,Technology,Communication Equipment,Information Technology,Communication Equipment,False,NA,eodhd_fundamentals_general
ADTX,ADTX,ADTX.US,Aditxt Inc. ,USA,NASDAQ,USD,Common Stock,US0070251097,Healthcare,Biotechnology,Health Care,Biotechnology,False,NA,eodhd_fundamentals_general
ADUS,ADUS,ADUS.US,Addus HomeCare Corporation,USA,NASDAQ,USD,Common Stock,US0067391062,Healthcare,Medical Care Facilities,Health Care,Medical Care Facilities,False,NA,eodhd_fundamentals_general
ADV,ADV,ADV.US,Advantage Solutions Inc,USA,NASDAQ,USD,Common Stock,US00791N1028,Communication Services,Advertising Agencies,Communication Services,Advertising Agencies,False,NA,eodhd_fundamentals_general
ADVB,ADVB,ADVB.US,Advanced Biomed Inc. Common Stock,USA,NASDAQ,USD,Common Stock,US00752P1049,Healthcare,Diagnostics & Research,Health Care,Diagnostics & Research,False,NA,eodhd_fundamentals_general
